combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
375,0.7934385308014621,0.7757042672055152,0.5,0.1,5,10,100
376,0.7030697453270334,0.7011767502674432,0.5,0.1,5,100,10
377,0.7543015066417046,0.7455128967074766,0.5,0.1,5,100,50
378,0.7740037443166622,0.7612029002733864,0.5,0.1,5,100,100
379,0.7686844373124128,0.7345774396766909,0.5,0.1,8,1,10
380,0.8384891979435976,0.7679781290859384,0.5,0.1,8,1,50
381,0.8724257822947312,0.7746344942351123,0.5,0.1,8,1,100
382,0.7467831565183798,0.731368120765482,0.5,0.1,8,10,10
383,0.7973908650560162,0.7690479020563413,0.5,0.1,8,10,50
384,0.8152506611987757,0.7755854035421371,0.5,0.1,8,10,100
385,0.7073489643695581,0.70200879591109,0.5,0.1,8,100,10
386,0.7623844759442513,0.748365624628551,0.5,0.1,8,100,50
387,0.77751032658762,0.7636990372043266,0.5,0.1,8,100,100
388,0.8033342248373005,0.7335076667062879,0.5,0.1,10,1,10
389,0.8891266232801402,0.7658385831451325,0.5,0.1,10,1,50
390,0.929125434608184,0.7722572209675502,0.5,0.1,10,1,100
391,0.7535883034679505,0.733626530369666,0.5,0.1,10,10,10
392,0.8073459926896674,0.7667894924521573,0.5,0.1,10,10,50
393,0.8286529375055719,0.7752288125520028,0.5,0.1,10,10,100
394,0.7078541499509673,0.7021276595744681,0.5,0.1,10,100,10
395,0.7625924935365962,0.7496731249257103,0.5,0.1,10,100,50
396,0.7784612641526255,0.7650065375014858,0.5,0.1,10,100,100
397,0.7698136756708568,0.7642933555212171,0.5,1.0,3,1,10
398,0.8042554456033996,0.7778438131463211,0.5,1.0,3,1,50
399,0.8269293631689995,0.7776060858195649,0.5,1.0,3,1,100
400,0.7676740661495943,0.7647688101747295,0.5,1.0,3,10,10
401,0.7971234138658584,0.779983359087127,0.5,1.0,3,10,50
402,0.8118035125256308,0.7768929038392963,0.5,1.0,3,10,100
403,0.7548661258209266,0.7468203970046356,0.5,1.0,3,100,10
404,0.7740334611155686,0.7694044930464757,0.5,1.0,3,100,50
405,0.7740334611155686,0.7694044930464757,0.5,1.0,3,100,100
406,0.7940031499806841,0.7704742660168786,0.5,1.0,5,1,10
407,0.8679385456598615,0.7714251753239035,0.5,1.0,5,1,50
